ID,X,Y,Width,Height,Color1R,Color1G,Color1B,Color1A,Color2R,Color2G,Color2B,Color2A,Alpha,Ligne,Colonne,MilieuX,MilieuY,PlateauID,PlateauNbreLigne,PlateauNbreColonne,ClearBgR,ClearBgG,ClearBgB,ClearBgA
0,40,40,100,100,187,221,205,255,0,0,0,0,1,1,90,90,1,8,8,130,130,130,255
1,140,40,100,100,0,0,0,255,0,0,0,0,1,2,190,90,1,8,8,130,130,130,255
2,240,40,100,100,187,221,205,255,0,0,0,0,1,3,290,90,1,8,8,130,130,130,255
3,340,40,100,100,0,0,0,255,0,0,0,0,1,4,390,90,1,8,8,130,130,130,255
4,440,40,100,100,187,221,205,255,0,0,0,0,1,5,490,90,1,8,8,130,130,130,255
5,540,40,100,100,0,0,0,255,0,0,0,0,1,6,590,90,1,8,8,130,130,130,255
6,640,40,100,100,187,221,205,255,0,0,0,0,1,7,690,90,1,8,8,130,130,130,255
7,740,40,100,100,0,0,0,255,0,0,0,0,1,8,790,90,1,8,8,130,130,130,255
8,40,140,100,100,0,0,0,255,0,0,0,0,2,1,90,190,1,8,8,130,130,130,255
9,140,140,100,100,187,221,205,255,0,0,0,0,2,2,190,190,1,8,8,130,130,130,255
10,240,140,100,100,0,0,0,255,0,0,0,0,2,3,290,190,1,8,8,130,130,130,255
11,340,140,100,100,187,221,205,255,0,0,0,0,2,4,390,190,1,8,8,130,130,130,255
12,440,140,100,100,0,0,0,255,0,0,0,0,2,5,490,190,1,8,8,130,130,130,255
13,540,140,100,100,187,221,205,255,0,0,0,0,2,6,590,190,1,8,8,130,130,130,255
14,640,140,100,100,0,0,0,255,0,0,0,0,2,7,690,190,1,8,8,130,130,130,255
15,740,140,100,100,187,221,205,255,0,0,0,0,2,8,790,190,1,8,8,130,130,130,255
16,40,240,100,100,187,221,205,255,0,0,0,0,3,1,90,290,1,8,8,130,130,130,255
17,140,240,100,100,0,0,0,255,0,0,0,0,3,2,190,290,1,8,8,130,130,130,255
18,240,240,100,100,187,221,205,255,0,0,0,0,3,3,290,290,1,8,8,130,130,130,255
19,340,240,100,100,0,0,0,255,0,0,0,0,3,4,390,290,1,8,8,130,130,130,255
20,440,240,100,100,187,221,205,255,0,0,0,0,3,5,490,290,1,8,8,130,130,130,255
21,540,240,100,100,0,0,0,255,0,0,0,0,3,6,590,290,1,8,8,130,130,130,255
22,640,240,100,100,187,221,205,255,0,0,0,0,3,7,690,290,1,8,8,130,130,130,255
23,740,240,100,100,0,0,0,255,0,0,0,0,3,8,790,290,1,8,8,130,130,130,255
24,40,340,100,100,0,0,0,255,0,0,0,0,4,1,90,390,1,8,8,130,130,130,255
25,140,340,100,100,187,221,205,255,0,0,0,0,4,2,190,390,1,8,8,130,130,130,255
26,240,340,100,100,0,0,0,255,0,0,0,0,4,3,290,390,1,8,8,130,130,130,255
27,340,340,100,100,187,221,205,255,0,0,0,0,4,4,390,390,1,8,8,130,130,130,255
28,440,340,100,100,0,0,0,255,0,0,0,0,4,5,490,390,1,8,8,130,130,130,255
29,540,340,100,100,187,221,205,255,0,0,0,0,4,6,590,390,1,8,8,130,130,130,255
30,640,340,100,100,0,0,0,255,0,0,0,0,4,7,690,390,1,8,8,130,130,130,255
31,740,340,100,100,187,221,205,255,0,0,0,0,4,8,790,390,1,8,8,130,130,130,255
32,40,440,100,100,187,221,205,255,0,0,0,0,5,1,90,490,1,8,8,130,130,130,255
33,140,440,100,100,0,0,0,255,0,0,0,0,5,2,190,490,1,8,8,130,130,130,255
34,240,440,100,100,187,221,205,255,0,0,0,0,5,3,290,490,1,8,8,130,130,130,255
35,340,440,100,100,0,0,0,255,0,0,0,0,5,4,390,490,1,8,8,130,130,130,255
36,440,440,100,100,187,221,205,255,0,0,0,0,5,5,490,490,1,8,8,130,130,130,255
37,540,440,100,100,0,0,0,255,0,0,0,0,5,6,590,490,1,8,8,130,130,130,255
38,640,440,100,100,187,221,205,255,0,0,0,0,5,7,690,490,1,8,8,130,130,130,255
39,740,440,100,100,0,0,0,255,0,0,0,0,5,8,790,490,1,8,8,130,130,130,255
40,40,540,100,100,0,0,0,255,0,0,0,0,6,1,90,590,1,8,8,130,130,130,255
